pygame 2.6.1 (SDL 2.28.4, Python 3.11.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
global_step=16384, SPS=10214
global_step=32768, SPS=12516
global_step=49152, SPS=13504
global_step=65536, SPS=14002
global_step=81920, SPS=14417
global_step=98304, SPS=14673
global_step=114688, SPS=14843
global_step=131072, SPS=14972
global_step=147456, SPS=15110
global_step=163840, SPS=15214
global_step=180224, SPS=15270
global_step=196608, SPS=15346
global_step=212992, SPS=15401
global_step=229376, SPS=15432
global_step=245760, SPS=15440
global_step=262144, SPS=15486
global_step=278528, SPS=15515
global_step=294912, SPS=15540
global_step=311296, SPS=15568
global_step=327680, SPS=15607
global_step=344064, SPS=15642
global_step=360448, SPS=15661
global_step=376832, SPS=15702
global_step=393216, SPS=15726
global_step=409600, SPS=15744
global_step=425984, SPS=15768
global_step=442368, SPS=15793
global_step=458752, SPS=15812
global_step=475136, SPS=15805
global_step=491520, SPS=15827
global_step=507904, SPS=15842
global_step=524288, SPS=15854
global_step=540672, SPS=15865
global_step=557056, SPS=15878
global_step=573440, SPS=15895
global_step=589824, SPS=15902
global_step=606208, SPS=15916
global_step=622592, SPS=15927
global_step=638976, SPS=15937
global_step=655360, SPS=15910
global_step=671744, SPS=15919
global_step=688128, SPS=15927
global_step=704512, SPS=15929
global_step=720896, SPS=15932
global_step=737280, SPS=15933
global_step=753664, SPS=15939
global_step=770048, SPS=15931
global_step=786432, SPS=15937
global_step=802816, SPS=15940
global_step=819200, SPS=15940
global_step=835584, SPS=15940
global_step=851968, SPS=15946
global_step=868352, SPS=15952
global_step=884736, SPS=15950
global_step=901120, SPS=15952
global_step=917504, SPS=15954
global_step=933888, SPS=15952
global_step=950272, SPS=15951
global_step=966656, SPS=15954
global_step=983040, SPS=15959
global_step=999424, SPS=15957
