pygame 2.6.1 (SDL 2.28.4, Python 3.11.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
global_step=16384, SPS=11414
global_step=32768, SPS=14320
global_step=49152, SPS=15589
global_step=65536, SPS=16243
global_step=81920, SPS=16762
global_step=98304, SPS=17097
global_step=114688, SPS=17330
global_step=131072, SPS=17501
global_step=147456, SPS=17671
global_step=163840, SPS=17809
global_step=180224, SPS=17888
global_step=196608, SPS=17976
global_step=212992, SPS=18040
global_step=229376, SPS=18105
global_step=245760, SPS=18125
global_step=262144, SPS=18177
global_step=278528, SPS=18215
global_step=294912, SPS=18247
global_step=311296, SPS=18274
global_step=327680, SPS=18314
global_step=344064, SPS=18354
global_step=360448, SPS=18364
global_step=376832, SPS=18403
global_step=393216, SPS=18431
global_step=409600, SPS=18458
global_step=425984, SPS=18477
global_step=442368, SPS=18506
global_step=458752, SPS=18528
global_step=475136, SPS=18537
global_step=491520, SPS=18563
global_step=507904, SPS=18585
global_step=524288, SPS=18600
global_step=540672, SPS=18611
global_step=557056, SPS=18630
global_step=573440, SPS=18641
global_step=589824, SPS=18647
global_step=606208, SPS=18660
global_step=622592, SPS=18677
global_step=638976, SPS=18684
global_step=655360, SPS=18687
global_step=671744, SPS=18706
global_step=688128, SPS=18718
global_step=704512, SPS=18727
global_step=720896, SPS=18741
global_step=737280, SPS=18753
global_step=753664, SPS=18768
global_step=770048, SPS=18772
global_step=786432, SPS=18788
global_step=802816, SPS=18796
global_step=819200, SPS=18805
global_step=835584, SPS=18816
global_step=851968, SPS=18829
global_step=868352, SPS=18843
global_step=884736, SPS=18851
global_step=901120, SPS=18861
global_step=917504, SPS=18880
global_step=933888, SPS=18892
global_step=950272, SPS=18901
global_step=966656, SPS=18914
global_step=983040, SPS=18929
global_step=999424, SPS=18941
