pygame 2.6.1 (SDL 2.28.4, Python 3.11.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
global_step=16384, SPS=11090
global_step=32768, SPS=13896
global_step=49152, SPS=15110
global_step=65536, SPS=15733
global_step=81920, SPS=16225
global_step=98304, SPS=16540
global_step=114688, SPS=16765
global_step=131072, SPS=16929
global_step=147456, SPS=17092
global_step=163840, SPS=17223
global_step=180224, SPS=17299
global_step=196608, SPS=17383
global_step=212992, SPS=17448
global_step=229376, SPS=17511
global_step=245760, SPS=17528
global_step=262144, SPS=17578
global_step=278528, SPS=17613
global_step=294912, SPS=17641
global_step=311296, SPS=17667
global_step=327680, SPS=17708
global_step=344064, SPS=17748
global_step=360448, SPS=17757
global_step=376832, SPS=17796
global_step=393216, SPS=17822
global_step=409600, SPS=17847
global_step=425984, SPS=17865
global_step=442368, SPS=17891
global_step=458752, SPS=17913
global_step=475136, SPS=17922
global_step=491520, SPS=17945
global_step=507904, SPS=17967
global_step=524288, SPS=17981
global_step=540672, SPS=17990
global_step=557056, SPS=18008
global_step=573440, SPS=18019
global_step=589824, SPS=18025
global_step=606208, SPS=18037
global_step=622592, SPS=18052
global_step=638976, SPS=18061
global_step=655360, SPS=18064
global_step=671744, SPS=18082
global_step=688128, SPS=18093
global_step=704512, SPS=18101
global_step=720896, SPS=18115
global_step=737280, SPS=18126
global_step=753664, SPS=18139
global_step=770048, SPS=18143
global_step=786432, SPS=18158
global_step=802816, SPS=18166
global_step=819200, SPS=18175
global_step=835584, SPS=18187
global_step=851968, SPS=18199
global_step=868352, SPS=18212
global_step=884736, SPS=18221
global_step=901120, SPS=18230
global_step=917504, SPS=18248
global_step=933888, SPS=18259
global_step=950272, SPS=18268
global_step=966656, SPS=18280
global_step=983040, SPS=18295
global_step=999424, SPS=18306
