
libgomp: Invalid value for environment variable OMP_WAIT_POLICY
OMP: Warning #42: OMP_WAIT_POLICY: "default" is an invalid value; ignored.

libgomp: Invalid value for environment variable OMP_WAIT_POLICY
pygame 2.6.1 (SDL 2.28.4, Python 3.11.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
global_step=16384, SPS=11333
global_step=32768, SPS=14201
global_step=49152, SPS=15450
global_step=65536, SPS=16083
global_step=81920, SPS=16597
global_step=98304, SPS=16928
global_step=114688, SPS=17157
global_step=131072, SPS=17327
global_step=147456, SPS=17492
global_step=163840, SPS=17626
global_step=180224, SPS=17702
global_step=196608, SPS=17790
global_step=212992, SPS=17854
global_step=229376, SPS=17920
global_step=245760, SPS=17939
global_step=262144, SPS=17991
global_step=278528, SPS=18027
global_step=294912, SPS=18056
global_step=311296, SPS=18081
global_step=327680, SPS=18121
global_step=344064, SPS=18161
global_step=360448, SPS=18170
global_step=376832, SPS=18208
global_step=393216, SPS=18235
global_step=409600, SPS=18261
global_step=425984, SPS=18279
global_step=442368, SPS=18307
global_step=458752, SPS=18330
global_step=475136, SPS=18339
global_step=491520, SPS=18363
global_step=507904, SPS=18384
global_step=524288, SPS=18399
global_step=540672, SPS=18408
global_step=557056, SPS=18427
global_step=573440, SPS=18438
global_step=589824, SPS=18444
global_step=606208, SPS=18456
global_step=622592, SPS=18473
global_step=638976, SPS=18480
global_step=655360, SPS=18483
global_step=671744, SPS=18501
global_step=688128, SPS=18514
global_step=704512, SPS=18523
global_step=720896, SPS=18537
global_step=737280, SPS=18550
global_step=753664, SPS=18564
global_step=770048, SPS=18568
global_step=786432, SPS=18584
global_step=802816, SPS=18593
global_step=819200, SPS=18601
global_step=835584, SPS=18613
global_step=851968, SPS=18627
global_step=868352, SPS=18640
global_step=884736, SPS=18650
global_step=901120, SPS=18661
global_step=917504, SPS=18680
global_step=933888, SPS=18693
global_step=950272, SPS=18703
global_step=966656, SPS=18717
global_step=983040, SPS=18733
global_step=999424, SPS=18746
