pygame 2.6.1 (SDL 2.28.4, Python 3.11.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
global_step=16384, SPS=10191
global_step=32768, SPS=12471
global_step=49152, SPS=13430
global_step=65536, SPS=13897
global_step=81920, SPS=14306
global_step=98304, SPS=14567
global_step=114688, SPS=14742
global_step=131072, SPS=14890
global_step=147456, SPS=15013
global_step=163840, SPS=15110
global_step=180224, SPS=15164
global_step=196608, SPS=15236
global_step=212992, SPS=15288
global_step=229376, SPS=15335
global_step=245760, SPS=15349
global_step=262144, SPS=15395
global_step=278528, SPS=15425
global_step=294912, SPS=15449
global_step=311296, SPS=15478
global_step=327680, SPS=15517
global_step=344064, SPS=15539
global_step=360448, SPS=15558
global_step=376832, SPS=15602
global_step=393216, SPS=15627
global_step=409600, SPS=15645
global_step=425984, SPS=15672
global_step=442368, SPS=15696
global_step=458752, SPS=15717
global_step=475136, SPS=15724
global_step=491520, SPS=15744
global_step=507904, SPS=15742
global_step=524288, SPS=15755
global_step=540672, SPS=15741
global_step=557056, SPS=15755
global_step=573440, SPS=15770
global_step=589824, SPS=15777
global_step=606208, SPS=15789
global_step=622592, SPS=15801
global_step=638976, SPS=15812
global_step=655360, SPS=15813
global_step=671744, SPS=15824
global_step=688128, SPS=15831
global_step=704512, SPS=15833
global_step=720896, SPS=15836
global_step=737280, SPS=15841
global_step=753664, SPS=15849
global_step=770048, SPS=15844
global_step=786432, SPS=15851
global_step=802816, SPS=15853
global_step=819200, SPS=15854
global_step=835584, SPS=15855
global_step=851968, SPS=15861
global_step=868352, SPS=15868
global_step=884736, SPS=15854
global_step=901120, SPS=15856
global_step=917504, SPS=15860
global_step=933888, SPS=15863
global_step=950272, SPS=15863
global_step=966656, SPS=15866
global_step=983040, SPS=15871
global_step=999424, SPS=15869
