pygame 2.6.1 (SDL 2.28.4, Python 3.11.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
global_step=16384, SPS=11460
global_step=32768, SPS=14383
global_step=49152, SPS=15668
global_step=65536, SPS=16329
global_step=81920, SPS=16860
global_step=98304, SPS=17192
global_step=114688, SPS=17434
global_step=131072, SPS=17611
global_step=147456, SPS=17787
global_step=163840, SPS=17928
global_step=180224, SPS=18011
global_step=196608, SPS=18102
global_step=212992, SPS=18171
global_step=229376, SPS=18239
global_step=245760, SPS=18261
global_step=262144, SPS=18316
global_step=278528, SPS=18355
global_step=294912, SPS=18387
global_step=311296, SPS=18414
global_step=327680, SPS=18456
global_step=344064, SPS=18498
global_step=360448, SPS=18510
global_step=376832, SPS=18550
global_step=393216, SPS=18578
global_step=409600, SPS=18604
global_step=425984, SPS=18623
global_step=442368, SPS=18653
global_step=458752, SPS=18673
global_step=475136, SPS=18681
global_step=491520, SPS=18705
global_step=507904, SPS=18727
global_step=524288, SPS=18743
global_step=540672, SPS=18753
global_step=557056, SPS=18773
global_step=573440, SPS=18784
global_step=589824, SPS=18790
global_step=606208, SPS=18803
global_step=622592, SPS=18819
global_step=638976, SPS=18828
global_step=655360, SPS=18831
global_step=671744, SPS=18851
global_step=688128, SPS=18863
global_step=704512, SPS=18872
global_step=720896, SPS=18887
global_step=737280, SPS=18899
global_step=753664, SPS=18913
global_step=770048, SPS=18917
global_step=786432, SPS=18933
global_step=802816, SPS=18942
global_step=819200, SPS=18951
global_step=835584, SPS=18963
global_step=851968, SPS=18976
global_step=868352, SPS=18989
global_step=884736, SPS=18998
global_step=901120, SPS=19009
global_step=917504, SPS=19027
global_step=933888, SPS=19039
global_step=950272, SPS=19048
global_step=966656, SPS=19060
global_step=983040, SPS=19075
global_step=999424, SPS=19087
