pygame 2.6.1 (SDL 2.28.4, Python 3.11.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
global_step=16384, SPS=10976
global_step=32768, SPS=13702
global_step=49152, SPS=14868
global_step=65536, SPS=15469
global_step=81920, SPS=15943
global_step=98304, SPS=16247
global_step=114688, SPS=16458
global_step=131072, SPS=16614
global_step=147456, SPS=16771
global_step=163840, SPS=16896
global_step=180224, SPS=16967
global_step=196608, SPS=17046
global_step=212992, SPS=17105
global_step=229376, SPS=17167
global_step=245760, SPS=17183
global_step=262144, SPS=17232
global_step=278528, SPS=17266
global_step=294912, SPS=17292
global_step=311296, SPS=17317
global_step=327680, SPS=17355
global_step=344064, SPS=17394
global_step=360448, SPS=17401
global_step=376832, SPS=17438
global_step=393216, SPS=17463
global_step=409600, SPS=17487
global_step=425984, SPS=17503
global_step=442368, SPS=17530
global_step=458752, SPS=17552
global_step=475136, SPS=17559
global_step=491520, SPS=17582
global_step=507904, SPS=17602
global_step=524288, SPS=17616
global_step=540672, SPS=17625
global_step=557056, SPS=17642
global_step=573440, SPS=17651
global_step=589824, SPS=17657
global_step=606208, SPS=17667
global_step=622592, SPS=17683
global_step=638976, SPS=17690
global_step=655360, SPS=17692
global_step=671744, SPS=17710
global_step=688128, SPS=17722
global_step=704512, SPS=17729
global_step=720896, SPS=17742
global_step=737280, SPS=17753
global_step=753664, SPS=17767
global_step=770048, SPS=17771
global_step=786432, SPS=17785
global_step=802816, SPS=17793
global_step=819200, SPS=17801
global_step=835584, SPS=17812
global_step=851968, SPS=17825
global_step=868352, SPS=17836
global_step=884736, SPS=17845
global_step=901120, SPS=17854
global_step=917504, SPS=17871
global_step=933888, SPS=17882
global_step=950272, SPS=17890
global_step=966656, SPS=17902
global_step=983040, SPS=17917
global_step=999424, SPS=17928
