
libgomp: Invalid value for environment variable OMP_WAIT_POLICY
OMP: Warning #42: OMP_WAIT_POLICY: "default" is an invalid value; ignored.

libgomp: Invalid value for environment variable OMP_WAIT_POLICY
pygame 2.6.1 (SDL 2.28.4, Python 3.11.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
global_step=16384, SPS=11436
global_step=32768, SPS=14356
global_step=49152, SPS=15635
global_step=65536, SPS=16296
global_step=81920, SPS=16820
global_step=98304, SPS=17151
global_step=114688, SPS=17389
global_step=131072, SPS=17559
global_step=147456, SPS=17729
global_step=163840, SPS=17867
global_step=180224, SPS=17949
global_step=196608, SPS=18037
global_step=212992, SPS=18102
global_step=229376, SPS=18170
global_step=245760, SPS=18190
global_step=262144, SPS=18244
global_step=278528, SPS=18281
global_step=294912, SPS=18310
global_step=311296, SPS=18337
global_step=327680, SPS=18378
global_step=344064, SPS=18419
global_step=360448, SPS=18428
global_step=376832, SPS=18467
global_step=393216, SPS=18494
global_step=409600, SPS=18519
global_step=425984, SPS=18537
global_step=442368, SPS=18567
global_step=458752, SPS=18589
global_step=475136, SPS=18598
global_step=491520, SPS=18623
global_step=507904, SPS=18645
global_step=524288, SPS=18661
global_step=540672, SPS=18671
global_step=557056, SPS=18690
global_step=573440, SPS=18702
global_step=589824, SPS=18709
global_step=606208, SPS=18721
global_step=622592, SPS=18738
global_step=638976, SPS=18747
global_step=655360, SPS=18749
global_step=671744, SPS=18768
global_step=688128, SPS=18780
global_step=704512, SPS=18789
global_step=720896, SPS=18804
global_step=737280, SPS=18816
global_step=753664, SPS=18830
global_step=770048, SPS=18834
global_step=786432, SPS=18850
global_step=802816, SPS=18859
global_step=819200, SPS=18867
global_step=835584, SPS=18879
global_step=851968, SPS=18892
global_step=868352, SPS=18905
global_step=884736, SPS=18913
global_step=901120, SPS=18923
global_step=917504, SPS=18942
global_step=933888, SPS=18954
global_step=950272, SPS=18962
global_step=966656, SPS=18974
global_step=983040, SPS=18990
global_step=999424, SPS=19001
