pygame 2.6.1 (SDL 2.28.4, Python 3.11.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
global_step=16384, SPS=10992
global_step=32768, SPS=13759
global_step=49152, SPS=14950
global_step=65536, SPS=15561
global_step=81920, SPS=16044
global_step=98304, SPS=16351
global_step=114688, SPS=16567
global_step=131072, SPS=16728
global_step=147456, SPS=16885
global_step=163840, SPS=17014
global_step=180224, SPS=17088
global_step=196608, SPS=17169
global_step=212992, SPS=17232
global_step=229376, SPS=17294
global_step=245760, SPS=17310
global_step=262144, SPS=17360
global_step=278528, SPS=17393
global_step=294912, SPS=17419
global_step=311296, SPS=17445
global_step=327680, SPS=17485
global_step=344064, SPS=17525
global_step=360448, SPS=17535
global_step=376832, SPS=17572
global_step=393216, SPS=17597
global_step=409600, SPS=17621
global_step=425984, SPS=17639
global_step=442368, SPS=17666
global_step=458752, SPS=17688
global_step=475136, SPS=17697
global_step=491520, SPS=17720
global_step=507904, SPS=17741
global_step=524288, SPS=17756
global_step=540672, SPS=17765
global_step=557056, SPS=17783
global_step=573440, SPS=17793
global_step=589824, SPS=17800
global_step=606208, SPS=17811
global_step=622592, SPS=17827
global_step=638976, SPS=17836
global_step=655360, SPS=17838
global_step=671744, SPS=17857
global_step=688128, SPS=17869
global_step=704512, SPS=17877
global_step=720896, SPS=17890
global_step=737280, SPS=17902
global_step=753664, SPS=17915
global_step=770048, SPS=17919
global_step=786432, SPS=17934
global_step=802816, SPS=17943
global_step=819200, SPS=17951
global_step=835584, SPS=17962
global_step=851968, SPS=17975
global_step=868352, SPS=17987
global_step=884736, SPS=17996
global_step=901120, SPS=18006
global_step=917504, SPS=18024
global_step=933888, SPS=18035
global_step=950272, SPS=18044
global_step=966656, SPS=18056
global_step=983040, SPS=18071
global_step=999424, SPS=18082
